,Model,Displ,Cyl,Trans,Drive,Fuel,Region,Stnd,Description,ID,Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
30,ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LHNXV03.5HBM,small car,3,20,29,23,5,No,387
31,ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LHNXV03.5HBM,small car,3,20,29,23,5,No,387
32,ACURA TLX FWD A-SPEC,2.4,4,AMS-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LHNXV02.4LBM,small car,3,23,32,26,5,No,336
33,ACURA TLX FWD A-SPEC,2.4,4,AMS-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LHNXV02.4LBM,small car,3,23,32,26,5,No,336
34,ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LHNXV03.5HBM,small car,3,20,30,23,5,No,382
35,ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LHNXV03.5HBM,small car,3,20,30,23,5,No,382
36,ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LCRXV01.85P0,small car,1,24,34,28,6,No,317
37,ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LCRXV01.85P0,small car,1,24,34,28,6,No,317
38,ALFA ROMEO Giulia,2.0,4,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LCRXJ02.05P2,midsize car,3,24,33,27,6,No,330
39,ALFA ROMEO Giulia,2.0,4,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LCRXJ02.05P2,midsize car,3,24,33,27,6,No,330
40,ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LCRXJ02.95P0,midsize car,3,17,25,20,4,No,436
41,ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LCRXJ02.95P0,midsize car,3,17,25,20,4,No,436
42,ALFA ROMEO Giulia AWD,2.0,4,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LCRXJ02.05P2,midsize car,3,23,31,26,5,No,348
43,ALFA ROMEO Giulia AWD,2.0,4,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LCRXJ02.05P2,midsize car,3,23,31,26,5,No,348
44,ALFA ROMEO Stelvio,2.0,4,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LCRXJ02.05P2,small SUV,3,22,29,25,5,No,359
45,ALFA ROMEO Stelvio,2.0,4,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LCRXJ02.05P2,small SUV,3,22,29,25,5,No,359
46,ALFA ROMEO Stelvio AWD,2.0,4,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LCRXJ02.05P2,small SUV,3,22,28,24,5,No,364
47,ALFA ROMEO Stelvio AWD,2.0,4,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LCRXJ02.05P2,small SUV,3,22,28,24,5,No,364
48,ALFA ROMEO Stelvio AWD,2.9,6,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LCRXJ02.95P0,small SUV,3,17,23,19,3,No,463
49,ALFA ROMEO Stelvio AWD,2.9,6,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LCRXJ02.95P0,small SUV,3,17,23,19,3,No,463
50,ASTON MARTIN DB11,4.0,8,SemiAuto-8,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,LASXV04.0AES,small car,3,18,24,20,4,No,431
51,ASTON MARTIN DB11,4.0,8,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LASXV04.0AES,small car,3,18,24,20,4,No,431
52,ASTON MARTIN DB11,5.2,12,SemiAuto-8,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,LASXV05.2AM5,small car,3,15,22,18,3,No,497
53,ASTON MARTIN DB11,5.2,12,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LASXV05.2AM5,small car,3,15,22,18,3,No,497
54,ASTON MARTIN DBS,5.2,12,SemiAuto-8,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,LASXV05.2AM5,small car,3,14,22,17,3,No,522
55,ASTON MARTIN DBS,5.2,12,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LASXV05.2AM5,small car,3,14,22,17,3,No,522
56,ASTON MARTIN Vantage,4.0,8,SemiAuto-8,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,LASXV04.0AES,small car,3,18,24,20,4,No,435
57,ASTON MARTIN Vantage,4.0,8,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LASXV04.0AES,small car,3,18,24,20,4,No,435
58,ASTON MARTIN Vantage Manual,4.0,8,Man-7,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,LASXV04.0AES,small car,3,14,21,20,4,No,541
59,ASTON MARTIN Vantage Manual,4.0,8,Man-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LASXV04.0AES,small car,3,14,21,20,4,No,541
60,AUDI A3,2.0,4,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LVGAV02.0A3A,small car,7,27,36,30,7,Yes,293
61,AUDI A3,2.0,4,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LVGAV02.0A3A,small car,7,27,36,30,7,Yes,293
62,AUDI A3,2.0,4,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LVGAJ02.0A3T,small car,7,22,30,25,5,No,359
63,AUDI A3,2.0,4,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LVGAJ02.0A3T,small car,7,22,30,25,5,No,359
64,AUDI A3 Cabriolet,2.0,4,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LVGAJ02.0A3T,small car,7,22,30,25,5,No,359
65,AUDI A3 Cabriolet,2.0,4,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LVGAJ02.0A3T,small car,7,22,30,25,5,No,359
66,AUDI A4,2.0,4,AMS-7,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LVGAV02.0A7B,small car,5,27,35,30,7,Yes,295
67,AUDI A4,2.0,4,AMS-7,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LVGAV02.0A7B,small car,5,27,35,30,7,Yes,295
68,AUDI A4,2.0,4,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAJ02.0AAC,small car,3,24,32,27,6,No,329
69,AUDI A4,2.0,4,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAJ02.0AAC,small car,3,24,32,27,6,No,329
70,AUDI A4 allroad quattro,2.0,4,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAJ02.0AAC,station wagon,3,23,31,26,5,No,337
71,AUDI A4 allroad quattro,2.0,4,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAJ02.0AAC,station wagon,3,23,31,26,5,No,337
