,Model,Displ,Cyl,Trans,Drive,Fuel,Region,Stnd,Description,ID,Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
488,CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LGMXV06.2089,small car,1,13,21,16,2,No,571
489,CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LGMXV06.2089,small car,1,13,21,16,2,No,571
490,CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LGMXV06.2090,small car,1,16,27,20,4,No,451
491,CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LGMXV06.2090,small car,1,16,27,20,4,No,451
492,CHEVROLET Colorado,2.5,4,Auto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT02.5200,pickup,5,20,26,22,4,No,406
493,CHEVROLET Colorado,2.5,4,Auto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT02.5200,pickup,5,20,26,22,4,No,406
494,CHEVROLET Colorado,2.5,4,Auto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT02.5200,pickup,5,19,24,21,4,No,428
495,CHEVROLET Colorado,2.5,4,Auto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT02.5200,pickup,5,19,24,21,4,No,428
496,CHEVROLET Colorado,2.8,4,Auto-6,2WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,LGMXT02.8358,pickup,3,20,30,23,4,No,435
497,CHEVROLET Colorado,2.8,4,Auto-6,2WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,LGMXT02.8358,pickup,3,20,30,23,4,No,435
498,CHEVROLET Colorado,2.8,4,Auto-6,4WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,LGMXT02.8358,pickup,3,19,28,22,4,No,456
499,CHEVROLET Colorado,2.8,4,Auto-6,4WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,LGMXT02.8358,pickup,3,19,28,22,4,No,456
500,CHEVROLET Colorado,3.6,6,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT03.6161,pickup,5,18,25,20,4,No,440
501,CHEVROLET Colorado,3.6,6,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT03.6161,pickup,5,18,25,20,4,No,440
502,CHEVROLET Colorado,3.6,6,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT03.6161,pickup,5,17,24,19,3,No,461
503,CHEVROLET Colorado,3.6,6,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT03.6161,pickup,5,17,24,19,3,No,461
504,CHEVROLET Colorado ZR2,2.8,4,Auto-6,4WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,LGMXT02.8357,pickup,3,18,22,19,3,No,525
505,CHEVROLET Colorado ZR2,2.8,4,Auto-6,4WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,LGMXT02.8357,pickup,3,18,22,19,3,No,525
506,CHEVROLET Colorado ZR2,3.6,6,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT03.6162,pickup,5,16,18,17,3,No,532
507,CHEVROLET Colorado ZR2,3.6,6,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT03.6162,pickup,5,16,18,17,3,No,532
508,CHEVROLET Corvette,6.2,8,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXV06.2091,small car,3,15,27,19,3,No,467
509,CHEVROLET Corvette,6.2,8,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXV06.2091,small car,3,15,27,19,3,No,467
510,CHEVROLET Equinox,1.5,4,Auto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LGMXT01.5090,small SUV,7,26,31,28,6,No,315
511,CHEVROLET Equinox,1.5,4,Auto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LGMXT01.5090,small SUV,7,26,31,28,6,No,315
512,CHEVROLET Equinox,1.5,4,Auto-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LGMXT01.5090,small SUV,7,25,30,27,6,No,324
513,CHEVROLET Equinox,1.5,4,Auto-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LGMXT01.5090,small SUV,7,25,30,27,6,No,324
514,CHEVROLET Equinox,2.0,4,Auto-9,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT02.0100,small SUV,5,22,29,25,5,No,350
515,CHEVROLET Equinox,2.0,4,Auto-9,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT02.0100,small SUV,5,22,29,25,5,No,350
516,CHEVROLET Equinox,2.0,4,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT02.0100,small SUV,5,22,28,24,5,No,367
517,CHEVROLET Equinox,2.0,4,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT02.0100,small SUV,5,22,28,24,5,No,367
520,CHEVROLET Impala,3.6,6,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LGMXV03.6048,large car,7,19,28,22,4,No,406
521,CHEVROLET Impala,3.6,6,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LGMXV03.6048,large car,7,19,28,22,4,No,406
522,CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXV01.5002,midsize car,6,29,36,32,7,Yes,298
523,CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXV01.5002,midsize car,6,29,36,32,7,Yes,298
524,CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LGMXV01.5010,midsize car,7,29,36,32,7,Yes,298
525,CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LGMXV01.5010,midsize car,7,29,36,32,7,Yes,298
526,CHEVROLET Malibu,2.0,4,Auto-9,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV02.0031,midsize car,5,22,32,26,5,No,344
527,CHEVROLET Malibu,2.0,4,Auto-9,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV02.0031,midsize car,5,22,32,26,5,No,344
528,CHEVROLET Silverado,2.7,4,Auto-8,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT02.7100,pickup,6,19,22,20,4,No,422
529,CHEVROLET Silverado,2.7,4,Auto-8,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT02.7100,pickup,6,20,23,21,4,No,421
530,CHEVROLET Silverado,2.7,4,Auto-8,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT02.7100,pickup,6,19,22,20,4,No,422
531,CHEVROLET Silverado,2.7,4,Auto-8,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT02.7100,pickup,6,20,23,21,4,No,421
532,CHEVROLET Silverado,2.7,4,Auto-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT02.7100,pickup,6,19,22,20,4,No,442
533,CHEVROLET Silverado,2.7,4,Auto-8,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT02.7100,pickup,6,19,22,20,4,No,442
534,CHEVROLET Silverado,3.0,6,Auto-10,2WD,Diesel,CA,L3LEV160,California LEV-III LEV160,LGMXT03.0352,pickup,1,23,33,27,5,No,383
535,CHEVROLET Silverado,3.0,6,Auto-10,2WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,LGMXT03.0352,pickup,1,23,33,27,5,No,383
536,CHEVROLET Silverado,3.0,6,Auto-10,4WD,Diesel,CA,L3LEV160,California LEV-III LEV160,LGMXT03.0352,pickup,1,23,29,25,4,No,405
537,CHEVROLET Silverado,3.0,6,Auto-10,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,LGMXT03.0352,pickup,1,23,29,25,4,No,405
538,CHEVROLET Silverado,4.3,6,Auto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT04.3186,pickup,6,16,21,17,3,No,523
539,CHEVROLET Silverado,4.3,6,Auto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT04.3186,special purpose,6,15,19,17,3,No,523
540,CHEVROLET Silverado,4.3,6,Auto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT04.3186,pickup,6,16,21,17,3,No,523
541,CHEVROLET Silverado,4.3,6,Auto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT04.3186,special purpose,6,15,19,17,3,No,523
542,CHEVROLET Silverado,4.3,6,Auto-6,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT04.3186,pickup,6,15,20,17,3,No,532
543,CHEVROLET Silverado,4.3,6,Auto-6,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT04.3186,special purpose,6,14,16,15,2,No,594
544,CHEVROLET Silverado,4.3,6,Auto-6,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT04.3186,pickup,6,15,20,17,3,No,532
545,CHEVROLET Silverado,4.3,6,Auto-6,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT04.3186,special purpose,6,14,16,15,2,No,594
546,CHEVROLET Silverado,5.3,8,Auto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,16,22,19,3,No,477
547,CHEVROLET Silverado,5.3,8,Auto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,16,22,19,3,No,477
550,CHEVROLET Silverado,5.3,8,Auto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,15,21,17,3,No,524
551,CHEVROLET Silverado,5.3,8,Auto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,special purpose,5,14,18,15,2,No,582
552,CHEVROLET Silverado,5.3,8,Auto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,15,21,17,3,No,524
553,CHEVROLET Silverado,5.3,8,Auto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,special purpose,5,14,18,15,2,No,582
556,CHEVROLET Silverado,5.3,8,Auto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,15,20,17,3,No,525
557,CHEVROLET Silverado,5.3,8,Auto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,special purpose,5,14,17,15,2,No,593
558,CHEVROLET Silverado,5.3,8,Auto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,15,20,17,3,No,525
559,CHEVROLET Silverado,5.3,8,Auto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,special purpose,5,14,17,15,2,No,593
560,CHEVROLET Silverado,5.3,8,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,17,23,19,3,No,460
561,CHEVROLET Silverado,5.3,8,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,17,24,20,4,No,448
562,CHEVROLET Silverado,5.3,8,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,17,23,19,3,No,460
563,CHEVROLET Silverado,5.3,8,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,17,24,20,4,No,448
564,CHEVROLET Silverado,5.3,8,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,16,22,18,3,No,494
565,CHEVROLET Silverado,5.3,8,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,16,22,18,3,No,494
566,CHEVROLET Silverado,6.2,8,Auto-10,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT06.2375,pickup,3,16,20,17,3,No,516
567,CHEVROLET Silverado,6.2,8,Auto-10,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT06.2375,pickup,3,16,20,17,3,No,516
568,CHEVROLET Silverado 4WD Trail Boss,4.3,6,Auto-6,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT04.3186,pickup,6,14,18,16,2,No,556
569,CHEVROLET Silverado 4WD Trail Boss,4.3,6,Auto-6,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT04.3186,pickup,6,14,18,16,2,No,556
570,CHEVROLET Silverado 4WD Trail Boss,5.3,8,Auto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,16,21,18,3,No,494
571,CHEVROLET Silverado 4WD Trail Boss,5.3,8,Auto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,16,21,18,3,No,494
572,CHEVROLET Silverado 4WD Trail Boss,5.3,8,Auto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,14,18,16,2,No,561
573,CHEVROLET Silverado 4WD Trail Boss,5.3,8,Auto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,14,18,16,2,No,561
574,CHEVROLET Silverado 4WD Trail Boss,5.3,8,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,16,21,18,3,No,486
575,CHEVROLET Silverado 4WD Trail Boss,5.3,8,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,16,21,18,3,No,486
576,CHEVROLET Silverado 4WD Trail Boss,6.2,8,Auto-10,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT06.2375,pickup,3,14,18,15,2,No,575
577,CHEVROLET Silverado 4WD Trail Boss,6.2,8,Auto-10,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT06.2375,pickup,3,15,19,17,3,No,515
578,CHEVROLET Silverado 4WD Trail Boss,6.2,8,Auto-10,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT06.2375,pickup,3,14,18,15,2,No,575
579,CHEVROLET Silverado 4WD Trail Boss,6.2,8,Auto-10,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT06.2375,pickup,3,15,19,17,3,No,515
580,CHEVROLET Sonic,1.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV01.4099,small car,5,26,34,29,6,No,308
581,CHEVROLET Sonic,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV01.4099,small car,5,26,34,29,6,No,308
582,CHEVROLET Sonic 5,1.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV01.4099,station wagon,5,26,34,29,6,No,308
583,CHEVROLET Sonic 5,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV01.4099,station wagon,5,26,34,29,6,No,308
584,CHEVROLET Spark,1.4,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV01.4050,small car,5,30,38,33,7,Yes,269
585,CHEVROLET Spark,1.4,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV01.4050,small car,5,30,38,33,7,Yes,269
586,CHEVROLET Spark,1.4,4,Man-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV01.4050,small car,5,29,38,33,7,Yes,273
587,CHEVROLET Spark,1.4,4,Man-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV01.4050,small car,5,29,38,33,7,Yes,273
588,CHEVROLET Spark Activ,1.4,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV01.4050,small car,5,30,37,33,7,Yes,269
589,CHEVROLET Spark Activ,1.4,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV01.4050,small car,5,30,37,33,7,Yes,269
590,CHEVROLET Spark Activ,1.4,4,Man-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV01.4050,small car,5,29,37,32,7,Yes,278
591,CHEVROLET Spark Activ,1.4,4,Man-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV01.4050,small car,5,29,37,32,7,Yes,278
594,CHEVROLET Suburban 1500,5.3,8,Auto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT05.3384,standard SUV,3,15,22,18,3,No,505
595,CHEVROLET Suburban 1500,5.3,8,Auto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT05.3384,standard SUV,3,15,22,18,3,No,505
598,CHEVROLET Suburban 1500,5.3,8,Auto-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT05.3384,standard SUV,3,14,21,16,2,No,547
599,CHEVROLET Suburban 1500,5.3,8,Auto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT05.3384,standard SUV,3,14,21,16,2,No,547
600,CHEVROLET Suburban 1500,6.2,8,Auto-10,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT06.2374,standard SUV,3,14,23,17,3,No,517
601,CHEVROLET Suburban 1500,6.2,8,Auto-10,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT06.2374,standard SUV,3,14,23,17,3,No,517
602,CHEVROLET Suburban 1500,6.2,8,Auto-10,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT06.2374,standard SUV,3,14,20,16,2,No,557
603,CHEVROLET Suburban 1500,6.2,8,Auto-10,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT06.2374,standard SUV,3,14,20,16,2,No,557
606,CHEVROLET Tahoe 1500,5.3,8,Auto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT05.3384,standard SUV,3,15,22,18,3,No,505
607,CHEVROLET Tahoe 1500,5.3,8,Auto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT05.3384,standard SUV,3,15,22,18,3,No,505
610,CHEVROLET Tahoe 1500,5.3,8,Auto-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT05.3384,standard SUV,3,15,21,17,3,No,525
611,CHEVROLET Tahoe 1500,5.3,8,Auto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT05.3384,standard SUV,3,15,21,17,3,No,525
612,CHEVROLET Tahoe 1500,6.2,8,Auto-10,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT06.2374,standard SUV,3,14,23,17,3,No,517
613,CHEVROLET Tahoe 1500,6.2,8,Auto-10,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT06.2374,standard SUV,3,14,23,17,3,No,517
614,CHEVROLET Tahoe 1500,6.2,8,Auto-10,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT06.2374,standard SUV,3,14,22,17,3,No,527
615,CHEVROLET Tahoe 1500,6.2,8,Auto-10,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT06.2374,standard SUV,3,14,22,17,3,No,527
616,CHEVROLET Traverse,3.6,6,Auto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT03.6151,standard SUV,6,18,27,21,4,No,420
617,CHEVROLET Traverse,3.6,6,Auto-9,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT03.6151,standard SUV,6,18,27,21,4,No,420
618,CHEVROLET Traverse,3.6,6,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT03.6151,standard SUV,6,17,25,20,4,No,442
619,CHEVROLET Traverse,3.6,6,Auto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT03.6151,standard SUV,6,17,25,20,4,No,442
620,CHEVROLET Trax,1.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV01.4099,small SUV,5,26,31,28,6,No,316
621,CHEVROLET Trax,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV01.4099,small SUV,5,26,31,28,6,No,316
622,CHEVROLET Trax,1.4,4,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV01.4099,small SUV,5,24,29,26,5,No,344
623,CHEVROLET Trax,1.4,4,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV01.4099,small SUV,5,24,29,26,5,No,344
624,CHRYSLER 300,3.6,6,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LCRXV03.65P3,large car,3,19,30,23,5,No,389
625,CHRYSLER 300,3.6,6,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LCRXV03.65P3,large car,3,19,30,23,5,No,389
626,CHRYSLER 300,3.6,6,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LCRXV03.65P3,large car,3,18,27,21,4,No,415
627,CHRYSLER 300,3.6,6,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LCRXV03.65P3,large car,3,18,27,21,4,No,415
628,CHRYSLER 300,5.7,8,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LCRXV05.75P5,large car,3,16,25,19,3,No,466
629,CHRYSLER 300,5.7,8,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LCRXV05.75P5,large car,3,16,25,19,3,No,466
630,CHRYSLER Pacifica,3.6,6,Auto-9,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LCRXT03.65P8,minivan,7,19,28,22,4,No,401
631,CHRYSLER Pacifica,3.6,6,Auto-9,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LCRXT03.65P8,minivan,7,19,28,22,4,No,401
634,CHRYSLER Voyager,3.6,6,Auto-9,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LCRXT03.65P8,minivan,7,19,28,22,4,No,401
635,CHRYSLER Voyager,3.6,6,Auto-9,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LCRXT03.65P8,minivan,7,19,28,22,4,No,401
636,DODGE Challenger,3.6,6,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LCRXV03.65P3,midsize car,3,19,30,23,5,No,389
637,DODGE Challenger,3.6,6,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LCRXV03.65P3,midsize car,3,19,30,23,5,No,389
638,DODGE Challenger,3.6,6,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LCRXV03.65P3,midsize car,3,18,27,21,4,No,415
639,DODGE Challenger,3.6,6,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LCRXV03.65P3,midsize car,3,18,27,21,4,No,415
640,DODGE Challenger,5.7,8,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LCRXV05.75P5,midsize car,3,16,25,19,3,No,466
641,DODGE Challenger,5.7,8,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LCRXV05.75P5,midsize car,3,16,25,19,3,No,466
642,DODGE Challenger,5.7,8,Man-6,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LCRXV05.75P4,midsize car,1,15,23,18,3,No,494
643,DODGE Challenger,5.7,8,Man-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LCRXV05.75P4,midsize car,1,15,23,18,3,No,494
644,DODGE Challenger,6.4,8,Auto-8,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LCRXV06.45P0,midsize car,1,15,24,18,3,No,500
645,DODGE Challenger,6.4,8,Auto-8,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LCRXV06.45P0,midsize car,1,15,24,18,3,No,500
646,DODGE Challenger,6.4,8,Man-6,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LCRXV06.45P0,midsize car,1,14,23,17,3,No,523
647,DODGE Challenger,6.4,8,Man-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LCRXV06.45P0,midsize car,1,14,23,17,3,No,523
648,DODGE Challenger SRT,6.2,8,Auto-8,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LCRXV06.25P0,midsize car,1,13,22,16,2,No,546
649,DODGE Challenger SRT,6.2,8,Auto-8,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LCRXV06.25P0,midsize car,1,13,22,16,2,No,546
650,DODGE Challenger SRT,6.2,8,Man-6,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LCRXV06.25P0,midsize car,1,13,21,16,2,No,567
651,DODGE Challenger SRT,6.2,8,Man-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LCRXV06.25P0,midsize car,1,13,21,16,2,No,567
652,DODGE Challenger SRT Widebody,6.2,8,Auto-8,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LCRXV06.25P0,midsize car,1,13,21,15,2,No,576
653,DODGE Challenger SRT Widebody,6.2,8,Auto-8,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LCRXV06.25P0,midsize car,1,13,21,15,2,No,576
654,DODGE Challenger SRT Widebody,6.2,8,Man-6,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LCRXV06.25P0,midsize car,1,13,21,16,2,No,567
655,DODGE Challenger SRT Widebody,6.2,8,Man-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LCRXV06.25P0,midsize car,1,13,21,16,2,No,567
656,DODGE Challenger Widebody,6.4,8,Auto-8,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LCRXV06.45P0,midsize car,1,15,24,18,3,No,500
657,DODGE Challenger Widebody,6.4,8,Auto-8,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LCRXV06.45P0,midsize car,1,15,24,18,3,No,500
658,DODGE Challenger Widebody,6.4,8,Man-6,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LCRXV06.45P0,midsize car,1,14,23,17,3,No,523
659,DODGE Challenger Widebody,6.4,8,Man-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LCRXV06.45P0,midsize car,1,14,23,17,3,No,523
